age,gender,region,account_type,tenure_years,credit_score,account_balance,num_products,monthly_transactions,complaints_12mo,debt_to_income,digital_engagement,has_active_loan,has_credit_card,annual_income_cleaned,complaints_12mo_missing,credit_score_missing,gender_missing,account_age_days,balance_income_ratio,txn_per_product,complaint_txn_ratio,low_engagement_flag
45,Female,Luzon,Savings,9.6,672.0,4529.91,4.0,23.0,0.0,0.336,73.2,0,1.0,24216.0,0,0,0,7619,0.18706268581982727,4.6,0.0,0
52,Female,Cebu,Business,0.1,646.0,78948.16,3.0,18.0,0.0,0.156,57.1,1,0.0,38000.0,0,0,0,5995,2.077583157840064,4.5,0.0,0
69,Female,Metro Manila,Checking,0.2,594.0,91255.61,1.0,17.0,0.0,0.257,59.2,1,1.0,70411.0,0,0,0,7374,1.2960419536536048,8.5,0.0,0
37,Female,Mindanao,Checking,13.4,850.0,51631.67,3.0,21.0,2.0,0.593,30.4,0,1.0,60615.0,0,0,0,7393,0.8517969149409915,5.25,0.09090909090909091,1
51,Female,Luzon,Checking,4.8,684.0,20354.85,6.0,18.0,0.0,0.246,70.7,1,1.0,98082.0,0,1,0,10907,0.20752890438401003,2.5714285714285716,0.0,0
29,Male,Luzon,Savings,8.4,775.0,72800.47,1.0,18.0,0.0,0.25,47.8,0,1.0,58057.0,0,0,0,7692,1.2539481888272914,9.0,0.0,0
31,Female,Metro Manila,Savings,0.8,749.0,96765.44,1.0,24.0,4.0,0.309,71.3,0,1.0,43385.0,0,0,0,11495,2.230389305007943,12.0,0.16,0
58,Female,Mindanao,Savings,14.4,621.0,134043.9,1.0,16.0,0.0,0.263,82.9,0,0.0,59985.0,1,0,0,7720,2.2346236558767254,8.0,0.0,0
53,Male,Luzon,Business,0.9,825.0,73794.95,3.0,15.0,2.0,0.339,61.0,0,0.0,35664.0,0,0,0,940,2.0691719941097695,3.75,0.125,0
51,Female,Cebu,Savings,3.1,691.0,49279.08,1.0,19.0,3.0,0.243,85.4,0,0.0,27399.0,0,0,0,2202,1.7985722105989792,9.5,0.15,0
37,Female,Mindanao,Savings,5.8,693.0,75587.2,4.0,25.0,0.0,0.624,84.1,0,1.0,33980.0,0,0,0,6301,2.2244614478450715,5.0,0.0,0
48,Male,Davao,Checking,5.1,642.0,78446.54,3.0,20.0,1.0,0.129,79.1,0,0.0,41473.0,0,0,0,1593,1.8915086923566775,5.0,0.047619047619047616,0
40,Prefer not to say,Luzon,Checking,7.1,718.0,20396.39,3.0,17.0,0.0,0.378,60.4,0,1.0,16000.0,0,0,0,8624,1.2747743749203266,4.25,0.0,0
49,Female,Metro Manila,Checking,4.5,677.0,91130.93,1.0,25.0,3.0,0.123,88.6,1,0.0,54587.0,0,0,0,5921,1.6694621429704972,12.5,0.11538461538461539,0
18,Male,Luzon,Checking,6.7,599.0,3301.68,2.0,23.0,0.0,0.258,30.2,1,1.0,17247.0,0,0,0,6807,0.19143503216840985,7.666666666666667,0.0,1
66,Male,Luzon,Savings,1.2,850.0,145248.67,2.0,17.0,0.0,0.131,91.0,0,1.0,91759.0,0,0,0,4777,1.5829364966751718,5.666666666666667,0.0,0
35,Female,Cebu,Savings,1.3,795.0,15393.84,2.0,16.0,0.0,0.093,58.5,0,1.0,15000.0,0,0,0,11054,1.026255999931583,5.333333333333333,0.0,0
46,Male,Metro Manila,Savings,2.8,630.0,97822.33,2.0,12.0,0.0,0.504,67.1,0,0.0,43134.0,0,0,0,4140,2.2678705892737083,4.0,0.0,0
48,Female,Davao,Savings,6.2,628.0,214163.12,2.0,18.0,0.0,0.037,83.1,0,1.0,71517.0,0,0,0,429,2.9945763943818315,6.0,0.0,0
35,Female,Visayas,Business,12.4,818.0,33043.43,4.0,18.0,0.0,0.029,66.0,0,0.0,64351.0,0,0,0,10909,0.5134874360846997,3.6,0.0,0
40,Female,Cebu,Checking,0.4,644.0,71751.81,3.0,18.0,0.0,0.396,61.6,1,1.0,40050.0,0,0,0,6431,1.7915558051987126,4.5,0.0,0
22,Male,Cebu,Checking,2.0,660.0,101370.79,2.0,13.0,0.0,0.175,37.6,0,0.0,62074.0,0,0,0,9522,1.6330636014815691,4.333333333333333,0.0,1
44,Male,Metro Manila,Savings,1.1,499.0,35444.55,4.0,14.0,0.0,0.331,68.3,1,0.0,55951.0,0,0,0,8512,0.6334926989574183,2.8,0.0,0
60,Female,Visayas,Savings,6.0,500.0,31719.51,6.0,10.0,0.0,0.271,50.5,1,1.0,43314.0,0,0,0,609,0.7323154176309665,1.4285714285714286,0.0,0
38,Female,Davao,Savings,5.1,686.0,7530.74,3.0,19.0,0.0,0.274,75.5,0,1.0,52995.0,0,0,0,10445,0.14210283988787428,4.75,0.0,0
38,Female,Luzon,Premium,4.7,548.0,31898.22,1.0,15.0,1.0,0.254,46.2,0,0.0,15000.0,0,0,0,7463,2.12654799985823,7.5,0.0625,0
39,Non-binary,Luzon,Savings,1.4,679.0,10194.49,4.0,17.0,1.0,0.057,67.5,0,1.0,44864.0,0,0,0,6567,0.2272309646882304,3.4,0.05555555555555555,0
50,Female,Davao,Savings,4.4,810.0,22179.19,1.0,23.0,0.0,0.345,48.9,0,1.0,56718.0,0,0,1,10067,0.3910432314187552,11.5,0.0,0
30,Male,Luzon,Savings,3.8,563.0,30634.38,4.0,17.0,0.0,0.137,81.5,1,0.0,48175.0,0,0,0,3301,0.6358978723272258,3.4,0.0,0
57,Male,Metro Manila,Savings,2.9,763.0,91048.43,3.0,13.0,0.0,0.173,54.1,1,0.0,39659.0,0,0,0,1478,2.295782293998946,3.25,0.0,0
34,Female,Metro Manila,Savings,1.0,601.0,15883.74,1.0,20.0,0.0,0.205,34.6,0,0.0,15000.0,0,0,0,8451,1.0589159999294055,10.0,0.0,1
54,Female,Cebu,Savings,1.9,621.0,33138.29,4.0,21.0,1.0,0.258,70.4,1,0.0,16222.0,0,0,0,9933,2.0427992847957834,4.2,0.045454545454545456,0
57,Female,Luzon,Premium,15.9,825.0,97227.71,2.0,14.0,0.0,0.37,69.8,0,1.0,49719.0,0,0,0,11133,1.95554435925993,4.666666666666667,0.0,0
41,Female,Cebu,Savings,1.6,587.0,13736.27,3.0,19.0,0.0,0.258,56.8,0,0.0,21520.0,0,0,0,3197,0.6383025092640194,4.75,0.0,0
67,Female,Luzon,Savings,9.7,572.0,14268.04,1.0,17.0,1.0,0.131,62.9,0,1.0,30920.0,0,0,0,5649,0.46145019403423515,8.5,0.05555555555555555,0
34,Male,Metro Manila,Savings,8.9,629.0,34217.59,3.0,16.0,1.0,0.301,61.6,0,1.0,41241.0,0,0,0,1068,0.8296983584095996,4.0,0.058823529411764705,0
70,Male,Mindanao,Checking,4.2,528.0,66866.11,3.0,11.0,1.0,0.225,61.6,0,1.0,30606.0,0,0,0,12219,2.184738613272406,2.75,0.08333333333333333,0
49,Male,Davao,Checking,14.3,715.0,17503.15,1.0,27.0,0.0,0.263,79.5,0,0.0,56178.0,0,0,0,3665,0.3115659154773832,13.5,0.0,0
42,Male,Mindanao,Checking,7.3,785.0,51531.74,1.0,25.0,0.0,0.069,47.2,0,0.0,23607.0,0,0,0,3848,2.1829008344057734,12.5,0.0,0
45,Male,Metro Manila,Business,0.6,710.0,31429.61,2.0,20.0,0.0,0.364,39.5,0,1.0,46264.0,0,0,0,4944,0.6793534929820302,6.666666666666667,0.0,1
42,Female,Metro Manila,Savings,2.6,684.0,75808.96,1.0,21.0,0.0,0.22,46.8,1,1.0,29228.0,0,1,0,5488,2.5937101408719823,10.5,0.0,0
59,Male,Visayas,Checking,24.6,621.0,59000.9,1.0,10.0,3.0,0.433,70.8,1,1.0,37000.0,0,0,0,5812,1.594618918875821,5.0,0.2727272727272727,0
53,Female,Cebu,Checking,3.1,711.0,84029.21,2.0,21.0,0.0,0.451,61.6,1,0.0,29006.0,0,0,0,881,2.896959594466767,7.0,0.0,0
31,Male,Luzon,Savings,0.6,767.0,121775.93,2.0,13.0,0.0,0.335,67.6,0,1.0,72126.0,0,0,0,2313,1.6883777001124647,4.333333333333333,0.0,0
49,Female,Metro Manila,Savings,1.8,784.0,60730.44,5.0,16.0,2.0,0.033,24.0,1,0.0,22667.0,0,0,0,8796,2.679244716871256,2.6666666666666665,0.11764705882352941,1
